year,month,rank,net_worth,last_name,first_name,full_name,birth_date,age,gender,country_of_citizenship,country_of_residence,city_of_residence,business_category,business_industries,organization_name,position_in_organization,self_made,wealth_status
2005,3,2,44.0,,,Warren Buffett,,74.0,,United States,United States,Omaha,,['Investments'],,,,
2005,3,3,25.0,,,Lakshmi Mittal,,54.0,,India,United Kingdom,London,,['Manufacturing'],,,,
2005,3,4,23.8,,,Carlos Slim Helu & family,,65.0,,Mexico,Mexico,Mexico City,,,,,,
2005,3,5,23.7,,,Prince Alwaleed Bin Talal Alsaud,,48.0,,Saudi Arabia,Saudi Arabia,Riyadh,,['Investments'],,,,
2005,3,6,23.0,,,Ingvar Kamprad & family,,78.0,,Sweden,Switzerland,Lausanne,,['Retail'],,,,
2005,3,7,21.0,Allen,Paul,Paul Allen,1953-01-21,52.0,Male,United States,United States,Mercer Island,,['Technology'],,,False,Remained Even
2005,3,8,18.5,,,Karl Albrecht,,85.0,,Germany,Germany,M?lheim an der Ruhr,,['Retail'],,,,
2005,3,9,18.4,,,Lawrence Ellison,,60.0,,United States,United States,Silicon Valley,,['Software'],,,,
2005,3,10,18.3,,,S. Robson Walton,,61.0,,United States,United States,Bentonville,,['Retail'],,,,
2005,3,11,18.2,,,Jim Walton,,57.0,,United States,United States,Bentonville,,['Retail'],,,,
2005,3,13,18.0,,,Alice Walton,,56.0,,United States,United States,Fort Worth,,['Retail'],,,,
2005,3,16,17.2,,,Liliane Bettencourt,,82.0,,France,France,Paris,,['Manufacturing'],,,,
2005,3,17,17.0,,,Bernard Arnault,,56.0,,France,France,Paris,,,,,,
2005,3,18,16.0,,,Michael Dell,,40.0,,United States,United States,Austin,,,,,,
2005,3,19,15.6,,,Sheldon Adelson,,71.0,,United States,United States,Las Vegas,,,,,,
2005,3,21,13.3,,,Roman Abramovich,,38.0,,Russia,United Kingdom,London,,['Oil'],,,,
2005,3,22,13.0,,,Ka-shing Li,,76.0,,Hong Kong,Hong Kong,Hong Kong,,,,,,
2005,3,23,12.6,,,Amancio Ortega,,69.0,,Spain,Spain,La Coruna,,['Apparel'],,,,
2005,3,24,12.1,Ballmer,Steven,Steve Ballmer,1956-03-24,49.0,Male,United States,United States,Hunts Point,,['Technology'],,,False,Decreased
2004,3,1,46.6,Gates,William,Bill Gates,1955-10-28,48.0,Male,United States,United States,Medina,,['Technology'],,,False,Increased
2004,3,2,42.9,,,Warren Buffett,,73.0,,United States,United States,Omaha,,['Investments'],,,,
2004,3,3,23.0,,,Karl Albrecht,,84.0,,Germany,Germany,Donaueschingen,,['Retail'],,,,
2004,3,4,21.5,,,Prince Alwaleed Bin Talal Alsaud,,47.0,,Saudi Arabia,Saudi Arabia,Riyadh,,['Investments'],,,,
2004,3,5,21.0,Allen,Paul,Paul Allen,1953-01-21,51.0,Male,United States,United States,Mercer Island,,['Technology'],,,False,Increased
2004,3,6,20.0,,,Alice Walton,,55.0,,United States,United States,Fort Worth,,['Retail'],,,,
2004,3,6,20.0,,,Jim Walton,,56.0,,United States,United States,Bentonville,,['Retail'],,,,
2004,3,6,20.0,,,S. Robson Walton,,60.0,,United States,United States,Bentonville,,['Retail'],,,,
2004,3,11,18.8,,,Liliane Bettencourt,,81.0,,France,France,Paris,,['Manufacturing'],,,,
2004,3,12,18.7,,,Lawrence Ellison,,59.0,,United States,United States,Redwood Shores,,['Software'],,,,
2004,3,13,18.5,,,Ingvar Kamprad & family,,77.0,,Sweden,Switzerland,Lausanne,,['Retail'],,,,
2004,3,17,13.9,,,Carlos Slim Helu & family,,64.0,,Mexico,Mexico,Mexico City,,,,,,
2004,3,18,13.0,,,Michael Dell,,39.0,,United States,United States,Round Rock,,,,,,
2004,3,19,12.4,Ballmer,Steven,Steve Ballmer,1956-03-24,47.0,Male,United States,United States,Hunts Point,,['Technology'],,,False,Increased
2004,3,19,12.4,,,Ka-shing Li,,75.0,,Hong Kong,Hong Kong,Hong Kong,,,,,,
2004,3,21,12.2,,,Bernard Arnault,,55.0,,France,France,Paris,,,,,,
2004,3,22,11.4,,,Kwok family,,0.0,,Hong Kong,Hong Kong,Hong Kong,,['Real Estate'],,,,
2004,3,23,11.2,Chambers,Anne Cox,Anne Cox Chambers,1919-12-01,84.0,Female,United States,United States,Atlanta,,['Media'],,,False,Increased
2004,3,25,10.6,,,Roman Abramovich,,37.0,,Russia,Russia,Anadyr,,['Oil'],,,,
2004,3,27,10.4,,,Forrest Mars,,72.0,,United States,United States,McLean,,['Food'],,,,
2010,3,1,53.5,Slim Helu,Carlos,Carlos Slim Helu & family,1940-01-28,70.0,Male,Mexico,Mexico,Mexico City,,['Telecom'],,,False,Increased
2010,3,2,53.0,Gates,William,Bill Gates,1955-10-28,54.0,Male,United States,United States,Medina,Technology,['Technology                    '],Bill & Melinda Gates Foundation,Co-Chair,False,Increased
2010,3,3,47.0,Buffett,Warren,Warren Buffett,1930-08-30,79.0,Male,United States,United States,Omaha,Investments,['Investments                   '],Berkshire Hathaway,Chairman,False,Increased
2010,3,4,29.0,Ambani,Mukesh,Mukesh Ambani,1957-04-19,52.0,Male,India,India,Mumbai,,['Energy'],,,False,Increased
2010,3,5,28.7,Mittal,Lakshmi,Lakshmi Mittal,1950-06-15,59.0,Male,India,United Kingdom,London,,['Metals & Mining'],,,False,Increased
2010,3,6,28.0,Ellison,Lawrence,Larry Ellison,1944-08-17,65.0,Male,United States,United States,Woodside,Technology,['Technology                    '],Oracle,CEO,False,Increased
2010,3,7,27.5,Arnault,Bernard,Bernard Arnault,1949-03-05,61.0,Male,France,France,Paris,,['Fashion and Retail'],,,False,Increased
2010,3,8,27.0,Batista,Eike,Eike Batista,1956-11-03,53.0,Male,Brazil,Brazil,Rio de Janeiro,,['Energy'],,,False,Increased
2010,3,9,25.0,Ortega,Amancio,Amancio Ortega,1936-03-28,73.0,Male,Spain,Spain,La Coruna,,['Fashion and Retail'],,,False,Increased
2010,3,10,23.5,Albrecht,Karl,Karl Albrecht,1920-02-20,90.0,Male,Germany,Germany,Mulheim an der Ruhr,,['Fashion and Retail'],,,False,Increased
2010,3,11,23.0,Kamprad,Ingvar,Ingvar Kamprad & family,1926-03-30,83.0,Male,Sweden,Switzerland,Lausanne,,['Fashion and Retail'],,,False,Increased
2010,3,12,22.5,Walton,Christy,Christy Walton & family,1955-01-01,55.0,Female,United States,United States,Jackson,Fashion and Retail,['Fashion and Retail            '],Children's Scholarship Fund,Co-Chair,False,Increased
2010,3,13,22.4,Persson,Stefan,Stefan Persson,1947-10-04,62.0,Male,Sweden,Sweden,Stockholm,,['Fashion and Retail'],,,False,Increased
2010,3,14,21.0,Li,Ka-shing,Li Ka-shing,1928-06-13,81.0,Male,Hong Kong,Hong Kong,Hong Kong,Diversified,['Diversified'],Hutchison Whampoa,Chairman,False,Increased
2010,3,15,20.7,Walton,Jim,Jim Walton,1948-01-01,62.0,Male,United States,United States,Bentonville,Fashion and Retail,['Fashion and Retail            '],"Arvest Bank Group, Inc.",Chairman and CEO,False,Increased
2010,3,16,20.6,Walton,Alice,Alice Walton,1949-10-07,60.0,Female,United States,United States,Fort Worth,Billionaire,['Billionaire'],Crystal Bridges Museum of American Art,Philanthropist,False,Increased
2010,3,17,20.0,Bettencourt,Liliane,Liliane Bettencourt,1922-10-21,87.0,Female,France,France,Paris,,['Fashion and Retail'],,,False,Increased
2010,3,18,19.8,Walton,S. Robson,S. Robson Walton,1944-01-01,66.0,Male,United States,United States,Bentonville,Fashion and Retail,['Fashion and Retail            '],Wal-Mart Stores,Chairman,False,Increased
2010,3,19,19.4,Alsaud,Prince Alwaleed Bin Talal,Prince Alwaleed Bin Talal Alsaud,1955-03-07,55.0,Male,Saudi Arabia,Saudi Arabia,Riyadh,,['Investments'],,,False,Increased
2010,3,20,19.0,Thomson,David,David Thomson & family,1957-06-12,52.0,Male,Canada,Canada,Toronto,,['Media'],,,False,Increased
2006,3,1,50.0,Gates,William,Bill Gates,1955-10-28,50.0,Male,United States,United States,Medina,,['Technology'],,,False,Increased
2006,3,2,42.0,,,Warren Buffett,,75.0,,United States,United States,Omaha,,['Investments'],,,,
2006,3,3,30.0,,,Carlos Slim Helu & family,,66.0,,Mexico,Mexico,Mexico City,,,,,,
2006,3,4,28.0,,,Ingvar Kamprad & family,,79.0,,Sweden,Switzerland,Lausanne,,['Retail'],,,,
2006,3,5,23.5,,,Lakshmi Mittal,,55.0,,India,United Kingdom,London,,['Manufacturing'],,,,
2006,3,6,22.0,Allen,Paul,Paul Allen,1953-01-21,53.0,Male,United States,United States,Mercer Island,,['Technology'],,,False,Increased
2006,3,7,21.5,,,Bernard Arnault,,57.0,,France,France,Paris,,,,,,
2006,3,8,20.0,,,Prince Alwaleed Bin Talal Alsaud,,49.0,,Saudi Arabia,Saudi Arabia,Riyadh,,['Investments'],,,,
2006,3,10,18.8,,,Ka-shing Li,,77.0,,Hong Kong,Hong Kong,Hong Kong,,,,,,
2006,3,11,18.2,,,Roman Abramovich,,39.0,,Russia,United Kingdom,London,,['Oil'],,,,
2006,3,12,17.1,,,Michael Dell,,41.0,,United States,United States,Austin,,,,,,
2006,3,13,17.0,,,Karl Albrecht,,86.0,,Germany,Germany,M?lheim an der Ruhr,,['Retail'],,,,
2006,3,14,16.1,,,Sheldon Adelson,,72.0,,United States,United States,Las Vegas,,,,,,
2006,3,15,16.0,,,Liliane Bettencourt,,83.0,,France,France,Paris,,['Manufacturing'],,,,
2006,3,15,16.0,,,Lawrence Ellison,,61.0,,United States,United States,Silicon Valley,,['Software'],,,,
2006,3,17,15.9,,,Christy Walton & family,,51.0,,United States,United States,Jackson,,['Retail'],,,,
2006,3,17,15.9,,,Jim Walton,,58.0,,United States,United States,Bentonville,,['Retail'],,,,
2006,3,19,15.8,,,S. Robson Walton,,62.0,,United States,United States,Bentonville,,['Retail'],,,,
2006,3,20,15.7,,,Alice Walton,,56.0,,United States,United States,Fort Worth,,['Retail'],,,,
2006,3,23,14.8,,,Amancio Ortega,,70.0,,Spain,Spain,La Coruna,,['Apparel'],,,,
2012,3,1,69.0,Slim Helu,Carlos,Carlos Slim Helu & family,1940-01-28,72.0,Male,Mexico,Mexico,Mexico City,,['Telecom'],,,True,Decreased
2012,3,2,61.0,Gates,Bill,Bill Gates,1955-10-28,56.0,Male,United States,United States,Medina,Technology,['Technology'],Bill & Melinda Gates Foundation,Co-Chair,True,Increased
2012,3,3,44.0,Buffett,Warren,Warren Buffett,1930-08-30,81.0,Male,United States,United States,Omaha,Investments,['Investments'],Berkshire Hathaway,CEO,True,Decreased
2012,3,4,41.0,Arnault,Bernard,Bernard Arnault,1949-03-05,63.0,Male,France,France,Paris,,['Fashion and Retail'],,,False,Remained Even
2012,3,5,37.5,Ortega,Amancio,Amancio Ortega,1936-03-28,75.0,Male,Spain,Spain,La Coruna,Fashion & Retail,['Fashion & Retail'],,,True,Increased
2012,3,6,36.0,Ellison,Larry,Larry Ellison,1944-08-17,67.0,Male,United States,United States,Woodside,Technology,['Technology'],Oracle,CEO,True,Decreased
2012,3,7,30.0,Batista,Eike,Eike Batista,1956-11-03,55.0,Male,Brazil,Brazil,Rio de Janeiro,,['Energy'],,,True,Remained Even
2012,3,8,26.0,Persson,Stefan,Stefan Persson,1947-10-04,64.0,Male,Sweden,Sweden,Stockholm,Fashion & Retail,['Fashion & Retail'],H&#38;M,Chairman,False,Increased
2012,3,9,25.5,Li,Ka-shing,Li Ka-shing,1928-06-13,83.0,Male,Hong Kong,Hong Kong,Hong Kong,Diversified,['Diversified'],Hutchison Whampoa,Chairman,True,Decreased
2012,3,10,25.4,Albrecht,Karl,Karl Albrecht,1920-02-20,92.0,Male,Germany,Germany,Mulheim an der Ruhr,,['Fashion and Retail'],,,True,Decreased
2012,3,11,25.3,Walton,Christy,Christy Walton & family,1955-01-01,57.0,Female,United States,United States,Jackson,Fashion and Retail,['Fashion and Retail'],Children's Scholarship Fund,Co-Chair,False,Decreased
2012,3,12,25.0,Koch,Charles,Charles Koch,1935-11-01,76.0,Male,United States,United States,Wichita,Diversified,['Diversified'],"Koch Industries, Inc.",CEO,False,Increased
2012,3,12,25.0,Koch,David,David Koch,1940-05-03,71.0,Male,United States,United States,New York,Diversified,['Diversified'],"Koch Industries, Inc.",Executive Vice President,False,Increased
2012,3,14,24.9,Adelson,Sheldon,Sheldon Adelson,1933-08-04,78.0,Male,United States,United States,Las Vegas,Gaming,['Gaming'],Las Vegas Sands,Chairman and CEO,True,Increased
2012,3,15,24.0,Bettencourt,Liliane,Liliane Bettencourt & family,1922-10-21,89.0,Female,France,France,Paris,Fashion & Retail,['Fashion & Retail'],,,False,Increased
2012,3,16,23.7,Walton,Jim,Jim Walton,1948-01-01,64.0,Male,United States,United States,Bentonville,Fashion and Retail,['Fashion and Retail'],"Arvest Bank Group, Inc.",Chairman and CEO,False,Increased
2012,3,17,23.3,Walton,Alice,Alice Walton,1949-10-07,62.0,Female,United States,United States,Fort Worth,Fashion and Retail,['Fashion and Retail'],Crystal Bridges Museum of American Art,Philanthropist,False,Increased
2012,3,18,23.1,Walton,S. Robson,S. Robson Walton,1944-01-01,68.0,Male,United States,United States,Bentonville,Fashion and Retail,['Fashion and Retail'],Wal-Mart Stores,Chairman,False,Increased
2012,3,19,22.3,Ambani,Mukesh,Mukesh Ambani,1957-04-19,54.0,Male,India,India,Mumbai,,['Energy'],,,False,Decreased
2012,3,20,22.0,Bloomberg,Michael,Michael Bloomberg,1942-02-14,70.0,Male,United States,United States,New York,Politics,['Politics'],United States,"Mayor, New York City",True,Increased
2013,3,1,73.0,Slim Helu,Carlos,Carlos Slim Helu & family,1940-01-28,73.0,Male,Mexico,Mexico,Mexico City,Telecom,['Telecom'],Am&#233;rica M&#243;vil,Honorary Chairman,True,Increased
2013,3,2,67.0,Gates,Bill,Bill Gates,1955-10-28,57.0,Male,United States,United States,Medina,Technology,['Technology'],Bill & Melinda Gates Foundation,Co-Chair,True,Increased
2013,3,3,57.0,Ortega,Amancio,Amancio Ortega,1936-03-28,76.0,Male,Spain,Spain,La Coruna,Fashion & Retail,['Fashion & Retail'],,,True,Increased
2013,3,4,53.5,Buffett,Warren,Warren Buffett,1930-08-30,82.0,Male,United States,United States,Omaha,Investments,['Investments'],Berkshire Hathaway,CEO,True,Increased
2013,3,5,43.0,Ellison,Larry,Larry Ellison,1944-08-17,68.0,Male,United States,United States,Woodside,Technology,['Technology'],Oracle,CEO,True,Increased
2013,3,6,34.0,Koch,Charles,Charles Koch,1935-11-01,77.0,Male,United States,United States,Wichita,Diversified,['Diversified'],Koch Industries,CEO,False,Increased
2013,3,6,34.0,Koch,David,David Koch,1940-05-03,72.0,Male,United States,United States,New York,Diversified,['Diversified'],Koch Industries,Executive Vice President,False,Increased
2013,3,8,31.0,Li,Ka-shing,Li Ka-shing,1928-06-13,84.0,Male,Hong Kong,Hong Kong,Hong Kong,Diversified,['Diversified'],Hutchison Whampoa,Chairman,True,Increased
2013,3,9,30.0,Bettencourt,Liliane,Liliane Bettencourt & family,1922-10-21,90.0,Female,France,France,Paris,Fashion & Retail,['Fashion & Retail'],,,False,Increased
2013,3,10,29.0,Arnault,Bernard,Bernard Arnault & family,1949-03-05,64.0,Male,France,France,Paris,Fashion and Retail,['Fashion and Retail'],LVMH Moet Hennessy Louis Vuitton,Chairman and CEO,False,Decreased
2013,3,11,28.2,Walton,Christy,Christy Walton & family,1955-01-01,58.0,Female,United States,United States,Jackson,Fashion and Retail,['Fashion and Retail'],Children's Scholarship Fund,Co-Chair,False,Increased
2013,3,12,28.0,Persson,Stefan,Stefan Persson,1947-10-04,65.0,Male,Sweden,Sweden,Stockholm,Fashion & Retail,['Fashion & Retail'],H&#38;M,Chairman,False,Increased
2013,3,13,27.0,Bloomberg,Michael,Michael Bloomberg,1942-02-14,71.0,Male,United States,United States,New York,Politics,['Politics'],United States,"Mayor, New York City",True,Increased
2013,3,14,26.7,Walton,Jim,Jim Walton,1948-01-01,65.0,Male,United States,United States,Bentonville,Fashion and Retail,['Fashion and Retail'],"Arvest Bank Group, Inc.",Chairman and CEO,False,Increased
2013,3,15,26.5,Adelson,Sheldon,Sheldon Adelson,1933-08-04,79.0,Male,United States,United States,Las Vegas,Gaming,['Gaming'],Las Vegas Sands,Chairman and CEO,True,Increased
2013,3,16,26.3,Walton,Alice,Alice Walton,1949-10-07,63.0,Female,United States,United States,Fort Worth,Fashion and Retail,['Fashion and Retail'],Crystal Bridges Museum of American Art,Philanthropist,False,Increased
2013,3,17,26.1,Walton,S. Robson,S. Robson Walton,1944-01-01,69.0,Male,United States,United States,Bentonville,Fashion and Retail,['Fashion and Retail'],Wal-Mart Stores,Chairman,False,Increased
2013,3,18,26.0,Albrecht,Karl,Karl Albrecht,1920-02-20,93.0,Male,Germany,Germany,Mulheim an der Ruhr,Fashion and Retail,['Fashion and Retail'],,,True,Increased
2013,3,19,25.2,Bezos,Jeff,Jeff Bezos,1964-01-12,49.0,Male,United States,United States,Seattle,Technology,['Technology'],Amazon.com,CEO,True,Increased
2013,3,20,23.0,Page,Larry,Larry Page,1973-03-26,40.0,Male,United States,United States,Palo Alto,Technology,['Technology'],Google,Entrepreneur,True,Increased
2007,3,1,56.0,Gates,William,Bill Gates,1955-10-28,51.0,Male,United States,United States,Medina,,['Technology'],,,False,Increased
2007,3,2,52.0,,,Warren Buffett,,76.0,,United States,United States,Omaha,,['Investments'],,,,
2007,3,3,49.0,,,Carlos Slim Helu & family,,67.0,,Mexico,Mexico,Mexico City,,,,,,
2007,3,4,33.0,,,Ingvar Kamprad & family,,80.0,,Sweden,Switzerland,Lausanne,,['Retail'],,,,
2007,3,5,32.0,,,Lakshmi Mittal,,56.0,,India,United Kingdom,London,,['Manufacturing'],,,,
2007,3,6,26.5,,,Sheldon Adelson,,73.0,,United States,United States,Las Vegas,,,,,,
2007,3,7,26.0,,,Bernard Arnault,,58.0,,France,France,Paris,,,,,,
2007,3,8,24.0,,,Amancio Ortega,,71.0,,Spain,Spain,La Coruna,,['Apparel'],,,,
2007,3,9,23.0,,,Ka-shing Li,,78.0,,Hong Kong,Hong Kong,Hong Kong,,,,,,
2007,3,10,22.0,,,David Thomson & family,,49.0,,Canada,Canada,Toronto,,['Media'],,,,
2007,3,11,21.5,,,Lawrence Ellison,,62.0,,United States,United States,Redwood City,,['Software'],,,,
2007,3,12,20.7,,,Liliane Bettencourt,,84.0,,France,France,Paris,,['Manufacturing'],,,,
2007,3,13,20.3,,,Prince Alwaleed Bin Talal Alsaud,,50.0,,Saudi Arabia,Saudi Arabia,Riyadh,,['Investments'],,,,
2007,3,14,20.1,,,Mukesh Ambani,,49.0,,India,India,Mumbai,,['Manufacturing'],,,,
2007,3,15,20.0,,,Karl Albrecht,,87.0,,Germany,Germany,M?lheim an der Ruhr,,['Retail'],,,,
2007,3,16,18.7,,,Roman Abramovich,,40.0,,Russia,United Kingdom,London,,['Oil'],,,,
2007,3,17,18.4,,,Stefan Persson,,59.0,,Sweden,Sweden,Stockholm,,['Retail'],,,,
2007,3,18,18.2,,,Anil Ambani,,47.0,,India,India,Mumbai,,,,,,
2007,3,19,18.0,Allen,Paul,Paul Allen,1953-01-21,54.0,Male,United States,United States,Mercer Island,,['Technology'],,,False,Decreased
2007,3,21,17.1,,,Azim Premji,,61.0,,India,India,Bangalore,,,,,,
2003,3,1,40.7,Gates,William,Bill Gates,1955-10-28,47.0,Male,United States,United States,Medina,,['Technology'],,,False,Decreased
2003,3,2,30.5,,,Warren Buffett,,72.0,,United States,United States,Omaha,,['Investments'],,,,
2003,3,4,20.1,Allen,Paul,Paul Allen,1953-01-21,50.0,Male,United States,United States,Mercer Island,,['Technology'],,,False,Decreased
2003,3,5,17.7,,,Prince Alwaleed Bin Talal Alsaud,,46.0,,Saudi Arabia,Saudi Arabia,Riyadh,,['Investments'],,,,
2003,3,6,16.6,,,Lawrence Ellison,,58.0,,United States,United States,Atherton,,['Software'],,,,
2003,3,7,16.5,,,Alice Walton,,54.0,,United States,United States,Fort Worth,,['Retail'],,,,
2003,3,7,16.5,,,Jim Walton,,55.0,,United States,United States,Bentonville,,['Retail'],,,,
2003,3,7,16.5,,,S. Robson Walton,,59.0,,United States,United States,Bentonville,,['Retail'],,,,
2003,3,12,14.5,,,Liliane Bettencourt,,80.0,,France,France,Paris,,['Manufacturing'],,,,
2003,3,14,13.0,,,Ingvar Kamprad & family,,76.0,,Sweden,Switzerland,Lausanne,,['Retail'],,,,
2003,3,15,12.9,,,Birgit Rausing & family,,0.0,,Sweden,Switzerland,,,['Manufacturing'],,,,
2003,3,16,11.1,Ballmer,Steven,Steve Ballmer,1956-03-24,46.0,Male,United States,United States,Hunts Point,,['Technology'],,,False,Decreased
2003,3,18,10.3,Chambers,Anne Cox,Anne Cox Chambers,1919-12-01,83.0,Female,United States,United States,Atlanta,,['Media'],,,False,Increased
2003,3,18,10.3,,,Amancio Ortega,,67.0,,Spain,Spain,La Coruna,,['Apparel'],,,,
2003,3,21,10.0,,,Forrest Mars,,71.0,,United States,United States,McLean,,['Food'],,,,
2003,3,21,10.0,,,Jacqueline Mars,,64.0,,United States,United States,Bedminster,,['Food'],,,,
2003,3,21,10.0,,,John Mars,,66.0,,United States,United States,Arlington,,['Food'],,,,
2003,3,24,9.8,,,Michael Dell,,38.0,,United States,United States,Austin,,,,,,
2003,3,25,8.2,,,Abigail Johnson,,41.0,,United States,United States,Boston,,['Finance'],,,,
2003,3,26,8.0,,,Sumner Redstone,,79.0,,United States,United States,Newton Centre,,['Media'],,,,
2017,3,1,86.0,Gates,Bill,Bill Gates,1955-10-28,61.0,Male,United States,United States,Medina,Technology,['Technology'],Bill & Melinda Gates Foundation,Cofounder,True,Increased
2017,3,2,75.6,Buffett,Warren,Warren Buffett,1930-08-30,86.0,Male,United States,United States,Omaha,Finance and Investments,['Finance and Investments'],Berkshire Hathaway,CEO,True,Increased
2017,3,3,72.8,Bezos,Jeff,Jeff Bezos,1964-01-12,53.0,Male,United States,United States,Seattle,Technology,['Technology'],Amazon.com,Entrepreneur,True,Increased
2017,3,4,71.3,Ortega,Amancio,Amancio Ortega,1936-03-28,80.0,Male,Spain,Spain,La Coruna,Fashion & Retail,['Fashion & Retail'],,,True,Increased
2017,3,5,56.0,Zuckerberg,Mark,Mark Zuckerberg,1984-05-14,32.0,Male,United States,United States,Palo Alto,Technology,['Technology'],Facebook,Entrepreneur,True,Increased
2017,3,6,54.5,Slim Helu,Carlos,Carlos Slim Helu & family,1940-01-28,77.0,Male,Mexico,Mexico,Mexico City,Telecom,['Telecom'],América Móvil,Honorary Chairman,True,Increased
2017,3,7,52.2,Ellison,Larry,Larry Ellison,1944-08-17,72.0,Male,United States,United States,Woodside,Technology,['Technology'],Oracle,CEO and Founder,True,Increased
2017,3,8,48.3,Koch,Charles,Charles Koch,1935-11-01,81.0,Male,United States,United States,Wichita,Diversified,['Diversified'],Koch Industries,CEO,False,Increased
2017,3,8,48.3,Koch,David,David Koch,1940-05-03,76.0,Male,United States,United States,New York,Diversified,['Diversified'],Koch Industries,Executive Vice President,False,Increased
2017,3,10,47.5,Bloomberg,Michael,Michael Bloomberg,1942-02-14,75.0,Male,United States,United States,New York,Media & Entertainment,['Media & Entertainment'],Bloomberg,CEO,True,Increased
2017,3,11,41.5,Arnault,Bernard,Bernard Arnault & family,1949-03-05,68.0,Male,France,France,Paris,Fashion & Retail,['Fashion & Retail'],LVMH Moet Hennessy Louis Vuitton,Chairman and CEO,False,Increased
2017,3,12,40.7,Page,Larry,Larry Page,1973-03-26,43.0,Male,United States,United States,Palo Alto,Technology,['Technology'],Google,Entrepreneur,True,Increased
2017,3,13,39.8,Brin,Sergey,Sergey Brin,1973-08-21,43.0,Male,United States,United States,Los Altos,Technology,['Technology'],Google,President,True,Increased
2017,3,14,39.5,Bettencourt,Liliane,Liliane Bettencourt & family,1922-10-21,94.0,Female,France,,,Fashion & Retail,['Fashion & Retail'],,,False,Increased
2017,3,15,34.1,Walton,S. Robson,S. Robson Walton,1944-10-27,72.0,Male,United States,United States,Bentonville,Fashion & Retail,['Fashion & Retail'],Wal-Mart Stores,Chairman,False,Increased
